out, NrmOutDeg   ,  NrmInDeg,NrmDegree,nBetweenness,expe,Tztype,times,Campe,condi,Hytype,year
1,0,0.243,0.243,0,1,3,0,2861.14,17,x1,2008
1,0,0.081,0.081,0,5,3,0,2686.16,221,x2,2007
1,0,0.243,0.243,0,4,5,0,391.82,95,x3,2008
1,0,0.081,0.081,0,1,5,0,391.82,221,x4,2008
1,0,0.081,0.081,0,1,1,0,2861.14,125,x4,2008
1,0,0.243,0.243,0,1,5,1,176.17,148,x4,2006
1,0,0.162,0.162,0,1,5,0,551.6,221,x4,2006
1,0,0.243,0.243,0,1,2,1,828.83,125,x4,2008
1,0,0.081,0.081,0,1,8,0,391.82,157,x4,2008
1,0,0.243,0.243,0,1,5,0,2861.14,20,x4,2008
1,0.081,0.081,0.081,0,4,12,0,391.82,253,x1,2008
1,0.081,0.081,0.081,0,4,12,0,391.82,253,x1,2008
1,0.081,0.162,0.162,0.011,4,12,0,391.82,253,x1,2008
1,0.081,0.162,0.162,0.011,4,12,0,484.33,253,x1,2007
1,0.081,0.081,0.081,0,4,12,1,484.33,253,x1,2007
1,0.081,0.162,0.162,0.011,4,2,1,2686.16,148,x1,2007
1,0.081,0.081,0.081,0,4,2,1,2686.16,161,x1,2007
1,0.081,0.081,0.081,0,1,2,1,2861.14,142,x2,2008
1,0.081,0.162,0.162,0.011,4,3,1,176.17,221,x2,2006
1,0.081,0.081,0.081,0,2,1,0,781.53,339,x3,2008
1,0.081,0.081,0.081,0,1,5,0,2861.14,95,x3,2008
1,0.081,0.081,0.081,0,2,5,1,484.33,95,x3,2007
1,0.081,0.081,0.081,0,2,5,1,484.33,95,x3,2007
1,0.081,0.081,0.081,0,2,1,1,2861.14,148,x4,2008
1,0.081,0.081,0.081,0,2,4,0,2686.16,125,x4,2007
1,0.081,0.081,0.081,0,2,12,0,176.17,142,x4,2006
1,0.081,0.081,0.081,0,2,5,1,176.17,148,x4,2006
1,0.081,0.081,0.081,0,2,12,0,551.6,142,x4,2006
1,0.081,0.081,0.081,0,1,4,0,707.22,125,x4,2006
1,0.081,0.081,0.081,0,2,12,1,707.22,142,x4,2006
1,0.081,0.081,0.081,0,2,1,1,391.82,339,x3,2008
1,0.081,0.081,0.081,0,2,9,0,921.34,135,x4,2007
1,0.081,0.081,0.081,0,2,9,0,921.34,135,x4,2007
1,0.081,0.081,0.081,0,2,9,1,176.17,135,x4,2006
1,0.081,0.081,0.081,0,2,1,1,707.22,42,x4,2006
1,0.162,0.162,0.162,0,1,1,1,391.82,157,x5,2008
1,0.162,0.243,0.243,0.085,2,12,0,391.82,253,x1,2008
1,0.162,0.243,0.243,0.085,2,12,0,484.33,253,x1,2007
1,0.162,0.324,0.324,0.295,8,2,1,176.44,256,x3,2006
