out,expe,Tztype,times,Campe,condi,Hytype,year
1,3,2,1,191.82,142,x1,2008
1,10,2,1,191.82,142,x1,2008
1,4,1,1,191.82,157,x1,2008
1,0,1,1,581.53,142,x1,2008
1,0,12,0,191.82,253,x2,2008
1,5,12,0,191.82,253,x2,2008
1,3,12,0,191.82,253,x2,2008
1,7,12,0,191.82,253,x2,2008
1,6,12,0,191.82,253,x2,2008
1,7,12,0,191.82,253,x2,2008
1,7,12,0,191.82,253,x2,2008
1,3,4,0,191.82,142,x2,2008
1,3,4,0,191.82,142,x2,2008
1,3,4,0,191.82,142,x2,2008
1,3,2,1,191.82,125,x2,2008
1,3,2,1,191.82,125,x2,2008
1,4,3,0,2661.14,17,x2,2008
1,10,4,0,2661.14,142,x2,2008
1,4,1,1,581.53,95,x2,2008
1,10,4,1,581.53,142,x2,2008
1,3,4,1,581.53,142,x2,2008
1,10,4,1,581.53,142,x2,2008
1,3,1,1,721.34,142,x2,2007
1,17,3,1,721.34,95,x2,2007
1,4,3,1,721.34,95,x2,2007
1,17,3,1,721.34,95,x2,2007
1,3,4,1,721.34,142,x2,2007
1,17,3,1,721.34,148,x2,2007
1,3,3,1,721.34,148,x2,2007
1,3,3,1,721.34,148,x2,2007
1,4,1,1,721.34,142,x2,2007
1,0,1,1,721.34,148,x2,2007
1,1,2,1,284.33,66,x2,2007
1,1,2,1,284.33,66,x2,2007
1,3,12,0,284.33,253,x2,2007
1,5,12,0,284.33,253,x2,2007
1,7,12,0,284.33,253,x2,2007
1,3,12,1,284.33,253,x2,2007
1,7,12,1,284.33,253,x2,2007
1,3,1,1,284.33,339,x2,2007
1,3,1,1,284.33,142,x2,2007
1,7,1,1,284.33,135,x2,2007
1,3,2,0,2486.16,148,x2,2007
1,7,2,1,2486.16,148,x2,2007
1,3,2,1,2486.16,17,x2,2007
1,3,2,1,2486.16,161,x2,2007
1,7,2,1,2486.16,161,x2,2007
1,12,1,1,2486.16,95,x2,2007
1,3,1,1,26.17,157,x2,2006
1,3,1,1,26.17,125,x2,2006
1,3,1,1,26.17,125,x2,2006
1,3,3,0,628.83,142,x3,2008
1,3,3,0,628.83,148,x3,2008
1,75,5,0,628.83,208,x3,2008
1,23,5,0,628.83,208,x3,2008
1,0,1,1,628.83,142,x3,2008
1,0,1,1,191.82,95,x3,2008
1,0,2,1,191.82,142,x3,2008
1,0,2,1,191.82,142,x3,2008
1,5,2,1,2661.14,142,x3,2008
1,4,2,1,2661.14,142,x3,2008
1,4,3,1,2661.14,148,x3,2008
1,3,3,1,2661.14,148,x3,2008
1,3,3,1,2661.14,148,x3,2008
1,17,1,1,2661.14,125,x3,2008
1,0,1,1,2661.14,361,x3,2008
1,1,1,1,2661.14,148,x3,2008
1,1,2,1,2661.14,221,x3,2008
1,3,2,1,2661.14,221,x3,2008
1,2,3,1,2661.14,142,x3,2008
1,0,3,1,2661.14,142,x3,2008
1,2,1,1,2661.14,135,x3,2008
1,0,1,1,2661.14,221,x3,2008
1,17,1,1,2661.14,221,x3,2008
1,3,3,1,581.53,148,x3,2008
1,3,3,1,581.53,148,x3,2008
1,29,7,0,581.53,10,x3,2008
1,3,7,0,581.53,10,x3,2008
1,0,7,0,581.53,10,x3,2008
1,0,1,1,581.53,339,x3,2008
1,0,1,1,581.53,142,x3,2008
1,0,1,0,581.53,361,x3,2008
1,1,1,1,581.53,135,x3,2008
1,2,3,1,721.34,148,x3,2007
1,1,3,1,721.34,148,x3,2007
1,1,3,1,721.34,148,x3,2007
1,1,2,1,721.34,142,x3,2007
1,5,2,1,721.34,142,x3,2007
1,3,1,1,721.34,161,x3,2007
1,6,1,1,721.34,142,x3,2007
1,3,3,0,721.34,148,x3,2007
1,4,3,0,721.34,148,x3,2007
1,1,3,0,721.34,148,x3,2007
1,1,1,1,721.34,148,x3,2007
1,17,2,1,284.33,161,x3,2007
1,15,2,1,284.33,161,x3,2007
1,12,1,1,284.33,76,x3,2007
1,5,3,1,284.33,125,x3,2007
1,5,3,1,284.33,125,x3,2007
1,29,7,0,284.33,10,x3,2007
1,1,7,0,284.33,10,x3,2007
1,1,7,0,284.33,10,x3,2007
1,0,7,1,2486.16,10,x3,2007
1,8,3,0,2486.16,221,x3,2007
1,24,3,0,2486.16,221,x3,2007
1,3,2,1,2486.16,157,x3,2007
1,12,2,1,2486.16,157,x3,2007
1,17,1,1,392.31,95,x3,2007
1,3,1,1,392.31,82,x3,2007
1,7,3,1,26.17,221,x3,2006
1,4,1,0,351.6,95,x3,2006
1,75,5,0,628.83,208,x4,2008
1,23,5,0,628.83,208,x4,2008
1,75,5,0,26.44,208,x4,2006
1,13,2,0,351.6,221,x4,2006
1,24,2,0,351.6,221,x4,2006
1,11,2,1,26.44,256,x4,2006
1,9,2,1,26.44,256,x4,2006
1,5,3,1,581.53,361,x4,2008
1,3,3,1,581.53,361,x4,2008
1,3,3,1,581.53,361,x4,2008
1,5,1,0,581.53,339,x4,2008
1,1,3,0,628.83,208,x4,2008
1,1,3,0,628.83,208,x4,2008
1,1,3,1,2486.16,208,x4,2007
1,1,1,1,628.83,253,x4,2008
1,7,5,0,191.82,95,x4,2008
1,33,5,0,191.82,95,x4,2008
1,3,5,1,351.6,95,x4,2006
1,33,5,1,351.6,95,x4,2006
1,3,5,1,351.6,95,x4,2006
